ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
144,Bride Of Frankenstein: Classic Monster Collection,Universal,Out,1,4:03,29.98,NR,1935,Horror,1.33:1,1017
145,Bridge At Remagen,MGM/UA,Out,1,LBX,24.98,PG,1969,Action/Adventure,2.35:1,128
146,Bridge Too Far,Warner Brothers,Out,SUR,"LBX, 16:9",24.98,PG,1977,Action/Adventure,2.35:1,2115
147,Bridges Of Madison County,Warner Brothers,Out,5.1,4:03,24.98,PG-13,1995,Drama,1.33:1,1622
148,Brigadoon (MGM/UA),MGM/UA,Discontinued,2,LBX,24.98,NR,1954,Musical,2.35:1,2046
149,Brigadoon (Warner),Warner Brothers,Out,2,LBX,24.98,NR,1954,Musical,2.35:1,665
150,Bringing Out The Dead,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1999,Drama,1.78:1,228
151,Buffalo 66,Universal,Out,SUR,"LBX, 16:9",24.98,R,1998,Comedy,1.85:1,192
152,Bulletproof,Universal,Out,5.1,"LBX, 16:9",24.98,R,1996,Action/Adventure,2.35:1,2019
153,Bullitt,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,PG,1968,Action/Adventure,1.85:1,263
154,Burbs,Universal,Out,SUR,"LBX, 16:9",24.98,PG,1989,Comedy,1.85:1,78
155,Burglar,Warner Brothers,Out,SUR,4:03,14.98,R,1987,Comedy,1.33:1,338
156,Burn The Floor,Universal,Out,5.1/DTS,"LBX, 16:9",29.98,NR,1999,Ballet,1.77:1,666
157,Cabaret: Special Edition,Warner Brothers,Out,SUR,LBX,24.98,PG,1972,Musical,1.85:1,1442
158,Caddyshack,Warner Brothers,Out,2,4:03,24.98,R,1980,Comedy,1.33:1,1316
159,Caddyshack 2,Warner Brothers,Out,SUR,4:03,14.98,PG,1988,Comedy,1.33:1,1836
160,Caddyshack: Special Edition,Warner Brothers,Out,2,LBX,24.98,R,1980,Comedy,1.85:1,313
